시군구,번지,아파트명,좌표X,좌표Y
서울특별시 강남구 논현동,252,논현라폴리움,127.0387869,37.5140473
서울특별시 강남구 논현동,214-2,논현베르빌,127.0327365,37.5127501
서울특별시 강남구 논현동,102-9,논현빌라트,127.0399433,37.5192685
서울특별시 강남구 논현동,215-14,논현아트빌,127.0322861,37.5124749
서울특별시 강남구 논현동,108,논현웰스톤,127.0380482,37.5184567
서울특별시 강남구 논현동,241-1,논현파라곤,127.0401523,37.5165553
서울특별시 강남구 논현동,196-4,논현프라임,127.028332,37.506716
서울특별시 강남구 논현동,105-3,논현한가람빌라트,127.0375263,37.5187845
서울특별시 강남구 논현동,275,동부센트레빌,127.0376735,37.5103594
서울특별시 강남구 논현동,105,동현,127.0365959,37.5193579
서울특별시 강남구 논현동,252-1,두산위브1단지,127.0387894,37.513552
서울특별시 강남구 논현동,258,두산위브2단지,127.0383858,37.5125392
서울특별시 강남구 논현동,216-1,두영,127.0323926,37.5121793
서울특별시 강남구 논현동,47-11,벨러스빌,127.0226615,37.5129135
서울특별시 강남구 논현동,43-3,브라운스톤,127.0242162,37.5133029
서울특별시 강남구 논현동,55,스위트캐슬레지던스,127.023905,37.5126063
서울특별시 강남구 논현동,22,신동아,127.0226915,37.514719
서울특별시 강남구 논현동,103,쌍용,127.0381504,37.5196344
서울특별시 강남구 논현동,107-44,우민,127.0373725,37.5178383
서울특별시 강남구 논현동,180-6,우성,127.0280018,37.5075736
서울특별시 강남구 논현동,138-9,월드쉐르빌,127.0261226,37.5102432
서울특별시 강남구 논현동,194-22,이산,127.0307137,37.5072124
서울특별시 강남구 논현동,229-13,이움빌라,127.0341315,37.5092542
서울특별시 강남구 논현동,44-9,지고하임,127.0236628,37.5137314
서울특별시 강남구 논현동,62-3,청학,127.0322414,37.5202967
서울특별시 강남구 논현동,267-18,케럿스테이트,127.042267,37.5126556
서울특별시 강남구 논현동,104-23,케이씨빌,127.0387476,37.5190561
서울특별시 강남구 논현동,228-9,토미빌,127.0338396,37.5089646
서울특별시 강남구 논현동,80-13,프라임,127.0306088,37.5162316
서울특별시 강남구 논현동,217-34,학동,127.0338215,37.5126042
서울특별시 강남구 논현동,79-7,한양빌라트,127.0313224,37.5170464
서울특별시 강남구 논현동,221-7,한양수자인어반게이트,127.033538,37.5097184
서울특별시 강남구 논현동,105-4,한진로즈힐,127.0371689,37.5207209
서울특별시 강남구 논현동,194-23,한화꿈에그린2차,127.0307463,37.5076906
서울특별시 강남구 논현동,261-8,현대넥서스A동,127.0367851,37.5115896
서울특별시 강남구 논현동,261,현대인텔렉스,127.0363262,37.5116271
서울특별시 강남구 대치동,503,개포우성1,127.0598974,37.4911201
서울특별시 강남구 대치동,500,개포우성2,127.0572451,37.4908356
서울특별시 강남구 대치동,891-26,대우아이빌멤버스,127.0537681,37.5046356
서울특별시 강남구 대치동,891-23,대우아이빌명문가,127.05354,37.5050842
서울특별시 강남구 대치동,1029,대치SKVIEW,127.060354,37.4957688
서울특별시 강남구 대치동,891-28,대치동우정에쉐르1,127.0542241,37.5045468
서울특별시 강남구 대치동,890-42,대치동우정에쉐르2,127.0525739,37.504319
서울특별시 강남구 대치동,63,대치우성,127.0691028,37.500234
서울특별시 강남구 대치동,1015-6,대치하나빌,127.0585068,37.4970518
서울특별시 강남구 대치동,907-2,대치한신휴플러스,127.0516071,37.5013939
서울특별시 강남구 대치동,938-11,동민맥스빌A동,127.0554717,37.4977994
서울특별시 강남구 대치동,938-13,동민맥스빌B동,127.0558924,37.498016
서울특별시 강남구 대치동,670,동부센트레빌,127.0557529,37.492784
서울특별시 강남구 대치동,920-32,동양,127.0526167,37.4997317
서울특별시 강남구 대치동,1027,래미안대치팰리스,127.058009,37.4942944
서울특별시 강남구 대치동,893,롯데캐슬,127.0564708,37.5047593
서울특별시 강남구 대치동,901-51,메트로,127.0554801,37.5029803
서울특별시 강남구 대치동,1014-1,삼성2차,127.0575421,37.4970262
서울특별시 강남구 대치동,1016-2,삼성3차,127.0601256,37.4975727
서울특별시 강남구 대치동,506,선경1차,127.062562,37.4921192
서울특별시 강남구 대치동,506,선경2차,127.062562,37.4921192
서울특별시 강남구 대치동,602,선경3차,127.0609474,37.4941742
서울특별시 강남구 대치동,890-49,선릉역대우아이빌,127.0515755,37.5045003
서울특별시 강남구 대치동,890-54,선릉역풍림아이원레몬,127.0514787,37.5042594
서울특별시 강남구 대치동,929-8,세연파크뷰,127.0584998,37.5000935
서울특별시 강남구 대치동,975-20,세영팔레스타운,127.0621689,37.5007603
서울특별시 강남구 대치동,904-10,신성미소시티,127.056208,37.5027769
서울특별시 강남구 대치동,65,쌍용대치2,127.0704548,37.4994723
서울특별시 강남구 대치동,66,쌍용대치,127.0711932,37.498081
서울특별시 강남구 대치동,889-74,아름빌,127.050551,37.5033752
서울특별시 강남구 대치동,950,우정에쉐르,127.0623031,37.5068899
서울특별시 강남구 대치동,650,청암빌라트,127.0571818,37.4924447
서울특별시 강남구 대치동,902,포스코더샵,127.0570655,37.5039638
서울특별시 강남구 대치동,910-5,풍림아이원1차103동,127.0550744,37.5017197
서울특별시 강남구 대치동,910-6,풍림아이원2차202동,127.0550151,37.5014002
서울특별시 강남구 대치동,910-4,풍림아이원,127.0548231,37.5016233
서울특별시 강남구 대치동,986-14,하이캐슬,127.0638352,37.5005567
서울특별시 강남구 대치동,986,하이캐슬102동,127.063386,37.5004106
서울특별시 강남구 대치동,511,한보미도맨션1,127.0673333,37.493383
서울특별시 강남구 대치동,511,한보미도맨션2,127.0673333,37.493383
서울특별시 강남구 대치동,941-13,한양팰리스,127.0597534,37.4991843
서울특별시 강남구 대치동,933,한티,127.0571288,37.4989931
서울특별시 강남구 대치동,992,현대1,127.06527,37.4998971
서울특별시 강남구 대치동,894,현대썬앤빌테헤란,127.0548249,37.5043047
서울특별시 강남구 대치동,950-5,화인하이빌,127.0625464,37.5064395
서울특별시 강남구 도곡동,953-1,SK허브프리모,127.0344139,37.4853103
서울특별시 강남구 도곡동,967,경남,127.0408105,37.4888809
서울특별시 강남구 도곡동,960,대림,127.0399019,37.4865525
서울특별시 강남구 도곡동,467-6,대림아크로빌,127.0510858,37.4881225
서울특별시 강남구 도곡동,952,대우디오빌,127.0335386,37.4864781
서울특별시 강남구 도곡동,543-7,도곡1차아이파크,127.0432234,37.4921279
서울특별시 강남구 도곡동,969,도곡2차I'PARK,127.0371088,37.4891846
서울특별시 강남구 도곡동,970,도곡3차아이파크,127.0378142,37.4898467
서울특별시 강남구 도곡동,955,도곡그린빌,127.0358373,37.4861454
서울특별시 강남구 도곡동,957-11,도곡스타클래스,127.0357672,37.4851462
서울특별시 강남구 도곡동,199-4,도곡지웰카운티101동,127.0436236,37.4863738
서울특별시 강남구 도곡동,199-1,도곡지웰카운티102동,127.0436631,37.4868179
서울특별시 강남구 도곡동,949-1,도곡푸르지오,127.0331538,37.4880463
서울특별시 강남구 도곡동,949-2,도곡푸르지오102동,127.0329194,37.4877759
서울특별시 강남구 도곡동,919-3,도곡하이빌,127.0375763,37.4859384
서울특별시 강남구 도곡동,183-7,도곡현대힐스테이트102동,127.0456202,37.4875299
서울특별시 강남구 도곡동,462,럭키,127.046289,37.4861743
서울특별시 강남구 도곡동,966,매봉삼성,127.04872,37.489193
서울특별시 강남구 삼성동,129,삼성동대성유니드,127.05402,37.50865
서울특별시 강남구 삼성동,188,삼성동센트럴아이파크,127.051321691,37.51579097
서울특별시 강남구 삼성동,14-1,삼성동중앙하이츠빌리지,127.0462561,37.5160546
서울특별시 강남구 삼성동,126,삼성파크,127.053859,37.5092371
서울특별시 강남구 세곡동,525,강남데시앙파크,127.1011882,37.4602887
서울특별시 강남구 세곡동,508,강남신동아파밀리에1단지,127.1001458,37.4645363
서울특별시 강남구 세곡동,511,강남신동아파밀리에2단지,127.1027666,37.4641686
서울특별시 강남구 세곡동,579,강남엘에이치1단지,127.1030382,37.4666728
서울특별시 강남구 세곡동,533,세곡푸르지오,127.0934913,37.4667727
서울특별시 강남구 수서동,795,강남데시앙포레,127.0911995,37.4809973
서울특별시 강남구 수서동,712,수서한아름,127.1035545,37.489365
서울특별시 강남구 신사동,658,로데오현대,127.0373,37.52667
서울특별시 강남구 신사동,632,압구정하이츠파크,127.033620937,37.524050617
서울특별시 강남구 역삼동,763-16,래미안그레이튼,127.0472661,37.4951609
서울특별시 강남구 역삼동,835-68,롯데캐슬노블,127.035424,37.492491
서울특별시 강남구 도곡동,551-28,롯데캐슬모닝,127.0367199,37.4902479
서울특별시 강남구 도곡동,193-42,벨라빌,127.0446183,37.4866916
서울특별시 강남구 도곡동,161,삼성,127.0463421,37.4886379
서울특별시 강남구 도곡동,91-5,삼성래미안,127.0506613,37.4897779
서울특별시 강남구 도곡동,869,삼익,127.0421101,37.4909019
서울특별시 강남구 도곡동,540,삼호,127.0460296,37.4935562
서울특별시 강남구 도곡동,467-7,아카데미스위트1,127.0521102,37.4886731
서울특별시 강남구 도곡동,465,우성4,127.0494789,37.48545
서울특별시 강남구 도곡동,467-10,우성리빙텔,127.0525676,37.4884461
서울특별시 강남구 도곡동,463-1,우성사원5,127.0475885,37.4859774
서울특별시 강남구 도곡동,467-24,우성캐릭터199,127.0518892,37.4865208
서울특별시 강남구 도곡동,467-18,우성캐릭터빌,127.0510599,37.4870843
서울특별시 강남구 도곡동,162-4,울트라멤버스,127.0467845,37.4877247
서울특별시 강남구 도곡동,952-14,원팰리스,127.0340414,37.4862409
서울특별시 강남구 도곡동,200-5,월드메르디앙102동,127.0439503,37.4869372
서울특별시 강남구 도곡동,950-19,조이너스도곡,127.0351273,37.4870175
서울특별시 강남구 도곡동,965,중명하니빌,127.0389464,37.4859252
서울특별시 강남구 도곡동,467,타워팰리스1,127.0544454,37.4882233
서울특별시 강남구 도곡동,467-17,타워팰리스2,127.0544975,37.4897089
서울특별시 강남구 도곡동,467-29,타워팰리스3,127.0528363,37.4873383
서울특별시 강남구 도곡동,164-6,포스코트,127.047624,37.4879138
서울특별시 강남구 도곡동,968,하이페리온,127.03511,37.4887663
서울특별시 강남구 도곡동,972,한라비발디,127.039188,37.4877418
서울특별시 강남구 도곡동,464,한신,127.0489053,37.4868952
서울특별시 강남구 도곡동,895-8,한신엠비씨,127.0402373,37.4878586
서울특별시 강남구 도곡동,964,현대그린1,127.0393768,37.488821
서울특별시 강남구 도곡동,467-19,현대비젼21,127.0513325,37.4873651
서울특별시 강남구 도곡동,944-5,현대아이리스1,127.0341699,37.4892947
서울특별시 강남구 도곡동,961,현대,127.0380243,37.4889673
서울특별시 강남구 도곡동,192-2,현대오티움,127.0445778,37.4876361
서울특별시 강남구 도곡동,193-1,힐데스하임빌라,127.0450433,37.4881393
서울특별시 강남구 삼성동,142-7,LG선릉에클라트,127.0508739,37.5065622
서울특별시 강남구 삼성동,99-12,강변삼부,127.0655435,37.5170678
서울특별시 강남구 삼성동,5-3,골든카운티,127.046457,37.5169812
서울특별시 강남구 삼성동,36-12,노블테라스,127.0447228,37.5118601
서울특별시 강남구 삼성동,82-6,다우림하우스,127.0617079,37.5189577
서울특별시 강남구 삼성동,98-18,대우멤버스카운티,127.0645862,37.5181339
서울특별시 강남구 삼성동,33-22,대우멤버스카운티501,127.0440303,37.512868
서울특별시 강남구 삼성동,108-2,동구싼타빌,127.0622757,37.5151758
서울특별시 강남구 삼성동,100-14,동일파크스위트,127.065785,37.5162536
서울특별시 강남구 삼성동,103-22,래미안삼성1차,127.0639862,37.5171386
서울특별시 강남구 삼성동,7-3,래미안삼성2차,127.0434525,37.5161514
서울특별시 강남구 삼성동,104-10,레미안삼성1차,127.0628592,37.5162523
서울특별시 강남구 삼성동,11,롯데캐슬프레미어,127.0447625,37.5152753
서울특별시 강남구 삼성동,107,미켈란107,127.0604318,37.5148933
서울특별시 강남구 삼성동,147-2,미켈란147,127.0559981,37.5132443
서울특별시 강남구 삼성동,98-11,삼부아그레빌,127.0641548,37.5178603
서울특별시 강남구 삼성동,99-13,삼부,127.065154,37.5169984
서울특별시 강남구 삼성동,113-17,삼성더파크뷰,127.0470478,37.5105019
서울특별시 강남구 삼성동,47-18,삼성동드림하우스,127.0495537,37.5134696
서울특별시 강남구 삼성동,110-2,삼성동라테라스,127.0657697,37.515566
서울특별시 강남구 삼성동,17,삼성동롯데,127.0487,37.5177728
서울특별시 강남구 삼성동,43,삼성동롯데캐슬킹덤,127.0478075,37.5131252
서울특별시 강남구 삼성동,8-2,삼성동브라운스톤레전드,127.0423857,37.5155561
서울특별시 강남구 삼성동,121-38,삼성동신도브래뉴,127.0534294,37.5103938
서울특별시 강남구 삼성동,114-11,삼성동신영지웰,127.048858,37.5114601
서울특별시 강남구 삼성동,3-2,삼성동씨엘케이,127.0443942,37.5174841
서울특별시 강남구 삼성동,101,삼성동에스케이뷰,127.0650129,37.5163762
서울특별시 강남구 삼성동,4-6,삼성동한솔,127.0455212,37.5173908
서울특별시 강남구 삼성동,82-1,삼성동헤렌하우스2,127.0610496,37.5194481
서울특별시 강남구 삼성동,16-2,삼성동힐스테이트 1단지,127.0484681,37.5163114
서울특별시 강남구 삼성동,52-9,삼성리치빌1,127.0511543,37.5185445
서울특별시 강남구 삼성동,29-19,삼성벨라스빌,127.0458267,37.5143386
서울특별시 강남구 삼성동,129-5,삼성펠리스,127.0544465,37.5088087
서울특별시 강남구 삼성동,104,삼성풍림2차,127.062218,37.5161528
서울특별시 강남구 삼성동,19-4,상아,127.0500027,37.5175364
서울특별시 강남구 삼성동,2,서광,127.0427577,37.5170277
서울특별시 강남구 삼성동,3-3,석탑,127.0448647,37.517449
서울특별시 강남구 삼성동,64-7,세방타운하우스,127.0528931,37.5174392
서울특별시 강남구 삼성동,97,시티,127.0639587,37.5190116
서울특별시 강남구 삼성동,99-11,신동아듀크빌,127.0653518,37.5173745
서울특별시 강남구 삼성동,117,쌍용플래티넘,127.0518548,37.5123258
서울특별시 강남구 삼성동,87,아이파크,127.0593575,37.5182931
서울특별시 강남구 삼성동,99-3,아펠바움,127.0646879,37.5178516
서울특별시 강남구 삼성동,122-7,영무예다음,127.0523591,37.510388
서울특별시 강남구 삼성동,75-3,우림루미아트,127.0541429,37.5138273
서울특별시 강남구 삼성동,130-6,이안애2차,127.0538526,37.5081495
서울특별시 강남구 삼성동,53-2,진흥,127.0521442,37.5187247
서울특별시 강남구 삼성동,144-14,채널리저브,127.0554164,37.5080146
서울특별시 강남구 삼성동,78-4,청구,127.0583783,37.5197827
서울특별시 강남구 삼성동,4-3,푸른솔,127.0460989,37.5177974
서울특별시 강남구 삼성동,129-20,풍림,127.0543276,37.5080273
서울특별시 강남구 삼성동,48,한일,127.049893,37.5139887
서울특별시 강남구 삼성동,6,현대,127.0446974,37.5167884
서울특별시 강남구 삼성동,143-37,현대타워,127.0530066,37.5061685
서울특별시 강남구 삼성동,50,현대힐스테이트2단지,127.0515094,37.5138666
서울특별시 강남구 삼성동,37,호산프라자,127.0439839,37.5109654
서울특별시 강남구 삼성동,79,홍실,127.0596517,37.5199747
서울특별시 강남구 세곡동,516,세곡리엔파크,127.1044236,37.4637795
서울특별시 강남구 수서동,799,강남 더샵 포레스트,127.0950912,37.4813018
서울특별시 강남구 수서동,746,까치마을,127.0876398,37.4847393
서울특별시 강남구 수서동,738,동익,127.0965246,37.4853282
서울특별시 강남구 수서동,747,삼성,127.0907043,37.4848991
서울특별시 강남구 수서동,708,삼익,127.1009549,37.4891651
서울특별시 강남구 수서동,736,신동아,127.0984502,37.4870776
서울특별시 강남구 신사동,524-8,RudenHouse,127.0216296,37.5214718
서울특별시 강남구 신사동,510-11,강남상가,127.0206947,37.5187768
서울특별시 강남구 신사동,635-14,금광아크존,127.034641,37.5265557
서울특별시 강남구 신사동,550-5,뉴현대,127.0236657,37.5235705
서울특별시 강남구 신사동,506-9,래미안신사,127.0196435,37.5201342
서울특별시 강남구 신사동,626,리갈팰리스,127.0307334,37.5237551
서울특별시 강남구 신사동,634-14,신사동닛시빌라트,127.0343769,37.5260061
서울특별시 강남구 신사동,523-4,신사동씨티빌,127.0206855,37.5210635
서울특별시 강남구 신사동,606-2,신사아크존2,127.0307354,37.5249009
서울특별시 강남구 신사동,562,신사파크빌A동,127.0262572,37.520281
서울특별시 강남구 신사동,622,신성,127.0319259,37.5262436
서울특별시 강남구 신사동,649-5,알파임하우스1,127.0351854,37.5253246
서울특별시 강남구 신사동,590-7,압구정Ainvill,127.0292621,37.5215243
서울특별시 강남구 신사동,659,압구정대원칸타빌,127.0372396,37.5274678
서울특별시 강남구 신사동,622-1,압구정케이씨씨,127.0324552,37.5261332
서울특별시 강남구 신사동,591-11,압구정화이트빌,127.0290887,37.5217718
서울특별시 강남구 신사동,593-21,장자울,127.0297481,37.5224938
서울특별시 강남구 신사동,626-1,진흥아마란스,127.031023,37.5237969
서울특별시 강남구 신사동,555-11,청림빌,127.0247401,37.5206676
서울특별시 강남구 신사동,550-7,체리빌,127.0240926,37.5238089
서울특별시 강남구 신사동,551-5,하야트빌,127.0237942,37.5218476
서울특별시 강남구 신사동,556-29,한양,127.0259019,37.5219249
서울특별시 강남구 신사동,569-1,현대아인빌,127.0263139,37.5237629
서울특별시 강남구 압구정동,444,대림빌라트,127.0271359,37.5308918
서울특별시 강남구 압구정동,414,미성1차,127.0201134,37.5253123
서울특별시 강남구 압구정동,397,미성2차,127.0182743,37.5239529
서울특별시 강남구 압구정동,433,신현대11차,127.0244362,37.5275617
서울특별시 강남구 압구정동,434,신현대12차,127.0241258,37.5289335
서울특별시 강남구 압구정동,426,신현대9차,127.0244949,37.5262291
서울특별시 강남구 압구정동,490,한양1차,127.0388254,37.530321
서울특별시 강남구 압구정동,493,한양2,127.0405264,37.5298296
서울특별시 강남구 압구정동,489,한양3,127.0381892,37.5291612
서울특별시 강남구 압구정동,486,한양4,127.0368887,37.5309135
서울특별시 강남구 압구정동,513,한양5,127.042101,37.5289474
서울특별시 강남구 압구정동,484,한양6,127.036073,37.5297976
서울특별시 강남구 압구정동,528,한양7,127.044093,37.5291374
서울특별시 강남구 압구정동,510,한양8,127.0417886,37.5299762
서울특별시 강남구 압구정동,436,현대10차,127.025092,37.5310976
서울특별시 강남구 압구정동,448,현대13차,127.0273543,37.5302376
서울특별시 강남구 압구정동,447,현대14차,127.0261548,37.5306302
서울특별시 강남구 압구정동,369-1,현대1차,127.0279463,37.5330332
서울특별시 강남구 압구정동,369-1,현대2차,127.0279463,37.5330332
서울특별시 강남구 압구정동,443,현대3차,127.0269776,37.5312653
서울특별시 강남구 압구정동,462,현대4차저층,127.0306758,37.5323838
서울특별시 강남구 압구정동,455,현대5차,127.028583,37.5319821
서울특별시 강남구 압구정동,456,현대6차,127.0289235,37.5299406
서울특별시 강남구 압구정동,456,현대7차,127.0289235,37.5299406
서울특별시 강남구 압구정동,481,현대8차,127.0354624,37.5312208
서울특별시 강남구 역삼동,828-21,,127.0330316,37.4975826
서울특별시 강남구 역삼동,755-4,e-편한세상,127.049894,37.4987845
서울특별시 강남구 역삼동,796-29,강남서해더블루,127.0391302,37.4930052
서울특별시 강남구 역삼동,823-7,강남역우정에쉐르,127.0322824,37.498413
서울특별시 강남구 역삼동,712,개나리4,127.0455446,37.5016391
서울특별시 강남구 역삼동,716-3,개나리SK뷰,127.049888,37.5014209
서울특별시 강남구 역삼동,754,개나리래미안,127.0464368,37.4985802
서울특별시 강남구 역삼동,755-1,개나리푸르지오,127.0499952,37.4997285
서울특별시 강남구 역삼동,783-28,갤러리아트,127.043762,37.4942696
서울특별시 강남구 역삼동,794-28,거평빌라트,127.0375346,37.4922011
서울특별시 강남구 역삼동,722,경남아너스빌,127.0423208,37.5005747
서울특별시 강남구 역삼동,775-14,경일역삼,127.0419757,37.4961588
서울특별시 강남구 역삼동,835-67,금호어울림,127.0349001,37.4920882
서울특별시 강남구 역삼동,728-10,네스빌,127.0400844,37.4982
서울특별시 강남구 역삼동,747,노블스위트,127.0373531,37.496098
서울특별시 강남구 역삼동,794-24,노블카운티,127.0378041,37.4925733
서울특별시 강남구 역삼동,761-10,대림역삼,127.0463985,37.496276
서울특별시 강남구 역삼동,727-2,대명벨리온,127.0391072,37.4979541
서울특별시 강남구 역삼동,720-25,대우디오빌,127.0427008,37.5014592
서울특별시 강남구 역삼동,716,동부센트레빌,127.0493831,37.5024446
서울특별시 강남구 역삼동,745-13,동원스위트뷰역삼,127.0372522,37.4970162
서울특별시 강남구 역삼동,713-7,래미안펜타빌,127.0475511,37.5007064
서울특별시 강남구 역삼동,644-6,로얄빌리지,127.034542,37.5015241
서울특별시 강남구 역삼동,604,리치타워,127.0300686,37.5054298
서울특별시 강남구 역삼동,732-25,명인갤러리2차,127.0423112,37.4976653
서울특별시 강남구 역삼동,633,베스젠빌,127.0304872,37.5028029
서울특별시 강남구 역삼동,747-5,브라운스톤역삼,127.0378712,37.4957106
서울특별시 강남구 역삼동,761-9,상지리츠빌,127.0460839,37.4965704
서울특별시 강남구 역삼동,681-46,성영forU,127.0421718,37.5091686
서울특별시 강남구 역삼동,771-4,세방하이빌1,127.0428446,37.4973162
서울특별시 강남구 역삼동,771-14,세방하이빌2,127.0429987,37.4970509
서울특별시 강남구 역삼동,791-23,세종빌라트,127.0388048,37.494189
서울특별시 강남구 역삼동,826-37,쌍용플레티넘밸류,127.03042,37.4954064
서울특별시 강남구 역삼동,778,쎄비앙101동,127.0428398,37.4958379
서울특별시 강남구 역삼동,685-19,에벤에셀빌라트,127.0429935,37.5079749
서울특별시 강남구 역삼동,831-45,에스케이허브젠,127.0310274,37.4936654
서울특별시 강남구 역삼동,713-11,역삼I'PARK,127.0458108,37.4993252
서울특별시 강남구 역삼동,757,역삼래미안,127.050065,37.4975233
서울특별시 강남구 역삼동,711-3,역삼자이,127.040128519,37.505881731
서울특별시 강남구 역삼동,754-1,역삼푸르지오,127.0460658,37.4975289
서울특별시 강남구 역삼동,706-20,한화진넥스빌,127.0442572,37.501959
서울특별시 강남구 역삼동,710,현대까르띠에710,127.044591,37.50172
서울특별시 강남구 일원동,615-1,개포한신,127.0786887,37.4911612
서울특별시 강남구 일원동,731,한솔마을,127.0767604,37.4819987
서울특별시 강남구 자곡동,602,강남자곡아이파크,127.101704398,37.474094746
서울특별시 강남구 자곡동,686,강남한양수자인,127.1116326,37.4761329
서울특별시 강남구 자곡동,611,래미안강남힐즈,127.0941087,37.4741702
서울특별시 강남구 자곡동,687,래미안포레,127.1026943,37.4817688
서울특별시 강남구 청담동,60,삼성청담공원,127.0505804,37.5224412
서울특별시 강남구 청담동,108,청담건영,127.0523705,37.5274224
서울특별시 강남구 청담동,134-15,청담삼익,127.0592063,37.5220877
서울특별시 강남구 청담동,130,청담아이파크,127.05548894,37.525076867
서울특별시 강남구 청담동,134-38,청담자이,127.0572143,37.5236075
서울특별시 강남구 청담동,127-31,청담현대3차,127.0529125,37.5272417
서울특별시 강동구 강일동,695,강일리버파크10단지,127.1799976,37.5592085
서울특별시 강동구 강일동,665,강일리버파크1단지,127.1720243,37.5668679
서울특별시 강동구 강일동,668,강일리버파크2단지,127.1766546,37.5687308
서울특별시 강동구 강일동,674,강일리버파크3단지,127.1751069,37.5655171
서울특별시 강동구 강일동,670,강일리버파크5단지,127.1782697,37.5678721
서울특별시 강동구 강일동,684,강일리버파크6단지,127.1772605,37.5627329
서울특별시 강동구 강일동,686,강일리버파크7단지,127.1784546,37.5653816
서울특별시 강동구 강일동,701,강일리버파크8단지,127.1762695,37.5607222
서울특별시 강동구 강일동,699,강일리버파크9단지,127.1778329,37.558354
서울특별시 강동구 강일동,707,고덕리엔파크1단지,127.1714936,37.5616716
서울특별시 강남구 일원동,734,상록수,127.0810461,37.4818518
서울특별시 강동구 강일동,673,강일리버파크4단지,127.1767916,37.5669952
서울특별시 강동구 강일동,717,고덕리엔파크2단지,127.1731354,37.5597131
서울특별시 강남구 역삼동,667-1,역삼동골든베리힐,127.035645,37.504707
서울특별시 강남구 역삼동,656-32,역삼동그린비,127.0390464,37.506791
서울특별시 강남구 역삼동,826-29,역삼동우정에쉐르1,127.0301873,37.4963126
서울특별시 강남구 역삼동,795-41,역삼동월드메르디앙,127.0384403,37.4927617
서울특별시 강남구 역삼동,664-21,역삼동프라임,127.0395414,37.5053339
서울특별시 강남구 역삼동,681-26,역삼동하나빌,127.0413401,37.5091754
